"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
151,"13/11/2016","19/11/2016",1,0,6,3,1,6,1,0,4,0,0,2,6,7,0,1,1,0,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,4
152,"20/11/2016","26/11/2016",0,1,2,2,0,11,1,0,7,0,0,2,3,11,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0,3,3
153,"27/11/2016","3/12/2016",0,1,5,4,2,3,2,1,5,0,0,1,1,10,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,1,0,0,2,2
154,"4/12/2016","10/12/2016",0,0,3,2,0,2,3,2,5,0,0,1,5,8,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,3
155,"11/12/2016","17/12/2016",1,1,5,1,3,4,0,2,13,0,0,1,2,11,1,2,2,0,0,0,0,0,3,2,1,0,0,1,1,3,0,1,1,3
156,"18/12/2016","24/12/2016",0,0,1,1,4,2,1,1,4,0,0,0,4,5,2,0,2,0,1,0,0,1,2,2,2,0,0,0,3,1,0,0,0,2
157,"25/12/2016","31/12/2016",1,1,4,1,1,6,0,1,2,0,0,0,1,5,2,3,3,0,0,0,1,0,3,1,1,0,0,0,5,3,0,0,0,2
158,"1/1/2017","7/1/2017",1,0,13,2,8,5,1,3,0,0,0,0,3,4,2,2,1,0,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1
159,"8/1/2017","14/1/2017",0,0,6,1,4,6,1,1,0,1,0,1,3,10,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,5,0,0,3,2
160,"15/1/2017","21/1/2017",1,1,10,4,1,2,1,1,3,0,0,0,3,2,1,0,0,0,1,0,0,0,0,1,3,1,0,1,3,4,0,0,0,10
161,"22/1/2017","28/1/2017",0,1,7,0,2,1,1,4,2,0,0,0,3,2,1,1,1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,3,3
162,"29/1/2017","4/2/2017",0,1,8,2,4,2,0,1,0,2,0,1,2,1,1,2,1,0,0,0,4,0,0,0,1,0,0,1,0,1,0,0,0,4
163,"5/2/2017","11/2/2017",1,2,6,4,3,3,0,0,1,0,0,2,5,4,0,2,5,0,3,1,1,0,0,0,1,1,0,1,1,1,0,1,3,5
164,"12/2/2017","18/2/2017",0,0,4,2,1,4,0,2,1,1,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,5,0,0,0,0
165,"19/2/2017","25/2/2017",0,0,5,1,0,4,0,1,0,0,0,2,1,4,2,2,3,0,0,0,1,0,2,2,1,0,0,0,1,2,0,0,0,0
166,"26/2/2017","4/3/2017",0,0,2,1,2,2,1,2,0,0,0,0,2,2,0,4,1,0,1,0,4,0,1,0,1,0,1,0,0,1,0,1,1,1
167,"5/3/2017","11/3/2017",0,0,3,0,2,4,1,1,0,0,0,0,2,3,0,0,2,0,0,0,1,0,2,0,0,0,0,2,0,2,0,1,0,0
168,"12/3/2017","18/3/2017",1,0,0,1,2,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
169,"19/3/2017","25/3/2017",0,1,1,4,1,6,0,2,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
170,"26/3/2017","1/4/2017",0,0,2,1,1,5,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,1,1,2,2,0,0,2,2,0,0,1,6
171,"2/4/2017","8/4/2017",0,0,2,2,2,3,0,2,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2
172,"9/4/2017","15/4/2017",0,0,0,1,5,4,0,1,0,0,0,1,1,2,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1
173,"16/4/2017","22/4/2017",0,0,0,1,4,2,0,2,3,2,0,0,1,3,1,3,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,5
174,"23/4/2017","29/4/2017",0,0,1,1,1,4,0,0,1,0,0,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
175,"30/4/2017","6/5/2017",0,1,2,1,4,2,1,0,2,0,0,0,1,3,2,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,3
176,"7/5/2017","13/5/2017",0,0,0,1,1,4,0,1,1,1,0,0,3,2,1,3,2,0,1,0,1,0,1,1,1,0,0,0,1,3,0,1,3,4
177,"14/5/2017","20/5/2017",0,0,0,3,1,9,1,1,1,1,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4
178,"21/5/2017","27/5/2017",0,0,3,1,2,5,1,2,3,1,0,0,0,2,6,4,0,0,0,0,0,0,1,0,1,0,1,2,2,1,0,0,1,1
179,"28/5/2017","3/6/2017",0,1,2,0,3,1,0,3,1,1,0,1,1,2,10,6,3,0,3,1,2,0,1,2,1,0,0,1,2,1,0,2,3,2
180,"4/6/2017","10/6/2017",0,1,4,0,2,6,2,1,1,0,0,0,1,2,2,4,0,0,0,0,2,1,0,0,0,0,0,1,0,2,0,0,1,6
181,"11/6/2017","17/6/2017",1,0,3,2,0,7,3,1,1,0,0,1,3,10,2,5,2,0,0,0,0,0,2,2,1,0,0,2,1,1,0,0,3,3
182,"18/6/2017","24/6/2017",0,0,3,1,2,6,0,2,0,0,0,0,1,0,0,7,0,0,2,0,0,0,4,0,1,0,0,0,1,6,0,0,1,6
183,"25/6/2017","1/7/2017",1,1,1,0,2,3,0,1,0,0,0,0,2,3,2,4,2,0,0,0,0,0,4,1,2,0,0,1,0,3,0,0,0,7
184,"2/7/2017","8/7/2017",0,0,3,4,2,5,0,0,0,1,0,1,1,5,1,2,1,0,0,0,1,0,0,2,2,0,0,1,0,2,0,0,3,2
185,"9/7/2017","15/7/2017",0,1,1,1,1,1,0,1,0,0,0,2,1,6,1,1,2,0,2,0,1,0,1,1,1,1,0,0,0,0,1,0,1,4
186,"16/7/2017","22/7/2017",0,2,0,2,2,2,1,3,1,2,0,1,0,3,1,3,1,0,1,1,0,1,2,2,2,0,0,0,1,5,0,1,0,2
187,"23/7/2017","29/7/2017",1,0,1,1,4,1,0,0,1,0,0,0,2,2,1,0,1,0,1,0,1,3,1,3,0,0,0,1,2,6,0,0,1,8
188,"30/7/2017","5/8/2017",1,0,4,0,1,3,1,0,3,0,0,0,2,6,0,1,0,0,1,0,0,0,1,0,0,0,0,2,2,9,0,0,0,5
189,"6/8/2017","12/8/2017",1,1,1,0,5,1,1,4,0,0,0,0,3,7,1,2,1,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,2
190,"13/8/2017","19/8/2017",1,0,1,2,0,1,0,2,0,1,0,0,2,5,0,1,0,0,1,0,0,0,1,2,1,0,0,2,1,5,0,1,1,1
191,"20/8/2017","26/8/2017",0,0,1,1,1,2,2,1,1,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,1,1
192,"27/8/2017","2/9/2017",0,0,2,1,2,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,2,1
193,"3/9/2017","9/9/2017",0,0,2,0,1,0,0,0,3,1,1,0,1,2,1,3,0,0,0,0,1,1,1,0,2,0,0,0,2,2,0,0,0,5
194,"10/9/2017","16/9/2017",0,0,0,0,0,5,0,1,1,3,0,1,0,6,0,2,0,0,0,0,1,0,4,2,1,1,0,1,2,6,0,0,2,0
195,"17/9/2017","23/9/2017",0,1,1,1,2,3,0,1,0,0,0,0,1,1,3,2,1,0,1,0,0,0,0,1,3,0,0,0,3,1,0,0,1,3
196,"24/9/2017","30/9/2017",0,0,1,1,1,10,0,0,0,0,0,1,1,0,1,1,3,1,0,0,0,0,4,0,2,0,1,1,2,3,0,0,0,1
197,"1/10/2017","7/10/2017",0,0,5,1,1,10,1,2,2,0,0,1,1,2,1,3,0,0,0,0,0,0,1,1,0,0,0,1,2,3,0,0,2,0
198,"8/10/2017","14/10/2017",1,0,1,3,2,12,0,1,0,0,0,1,0,2,2,3,2,0,0,1,1,0,2,0,0,0,1,1,2,2,0,0,0,2
199,"15/10/2017","21/10/2017",0,0,1,2,1,11,1,0,2,0,0,0,5,0,2,0,3,0,1,0,1,0,2,1,1,0,0,0,2,3,0,0,0,1
200,"22/10/2017","28/10/2017",0,0,1,3,4,7,2,1,1,2,0,3,4,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,3,4,0,0,0,2
201,"29/10/2017","4/11/2017",0,1,4,1,5,9,1,2,0,0,0,1,2,1,0,4,2,2,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,3
202,"5/11/2017","11/11/2017",0,1,3,0,0,10,0,0,1,0,0,0,1,2,0,0,2,0,0,0,1,0,0,2,2,0,0,0,2,1,0,0,2,0
203,"12/11/2017","18/11/2017",0,0,1,1,1,7,0,2,0,1,0,0,1,0,0,2,4,0,0,0,1,0,2,2,1,0,0,0,2,0,0,0,1,1
204,"19/11/2017","25/11/2017",0,1,3,0,0,2,0,1,0,0,0,0,1,3,1,1,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
205,"26/11/2017","2/12/2017",0,1,3,0,0,6,0,1,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,3,0,0,0,1,1
206,"3/12/2017","9/12/2017",0,0,3,0,2,6,2,1,1,1,0,0,3,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,1
207,"10/12/2017","16/12/2017",0,1,5,1,0,2,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,2,1
208,"17/12/2017","23/12/2017",0,1,5,0,1,4,1,1,1,0,1,0,5,1,1,2,1,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,2,2
209,"24/12/2017","30/12/2017",1,0,9,0,1,1,0,0,2,1,0,1,4,2,0,3,2,0,0,0,2,0,1,1,2,0,0,2,1,2,0,0,1,0
210,"31/12/2017","6/1/2018",0,0,4,4,0,3,0,1,5,0,0,1,4,3,0,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
211,"7/1/2018","13/1/2018",0,0,6,1,0,2,1,0,2,0,0,1,1,3,1,1,3,0,0,0,4,0,2,0,0,0,0,2,1,0,0,0,0,1
212,"14/1/2018","20/1/2018",1,1,5,2,1,4,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3
213,"21/1/2018","27/1/2018",1,0,7,1,0,5,0,0,0,1,0,1,1,4,1,3,0,0,2,0,1,0,0,1,1,1,0,0,3,0,0,0,1,0
214,"28/1/2018","3/2/2018",0,0,9,0,0,11,1,2,2,1,0,1,4,0,0,1,1,0,2,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1
215,"4/2/2018","10/2/2018",0,0,2,0,0,4,1,0,9,0,0,0,1,2,0,3,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
216,"11/2/2018","17/2/2018",0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2
217,"18/2/2018","24/2/2018",0,2,4,0,1,1,2,0,5,0,0,4,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,0,1,3
218,"25/2/2018","3/3/2018",0,0,2,1,0,3,0,2,4,0,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,2
219,"4/3/2018","10/3/2018",1,0,4,2,1,12,1,0,0,0,0,1,6,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
220,"11/3/2018","17/3/2018",0,0,1,0,0,7,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0
221,"18/3/2018","24/3/2018",0,0,1,1,0,9,0,0,0,0,0,2,0,1,1,2,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0
222,"25/3/2018","31/3/2018",0,0,0,1,0,8,0,0,3,0,0,0,1,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
223,"1/4/2018","7/4/2018",0,0,3,4,2,4,0,3,2,0,0,1,4,1,1,6,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,1,1
224,"8/4/2018","14/4/2018",0,1,1,0,0,6,0,2,3,1,0,0,2,0,1,14,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0
225,"15/4/2018","21/4/2018",0,0,2,0,0,7,0,0,9,1,0,1,1,0,0,18,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,1,1
226,"22/4/2018","28/4/2018",1,0,2,1,0,15,1,0,6,2,0,0,4,1,0,22,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0
227,"29/4/2018","5/5/2018",0,0,3,2,0,12,0,0,0,1,0,1,0,1,1,28,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
228,"6/5/2018","12/5/2018",0,0,2,0,0,7,0,0,2,1,0,1,3,1,0,15,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
229,"13/5/2018","19/5/2018",0,0,6,1,0,14,0,1,4,0,0,2,3,1,0,9,1,0,1,0,0,2,0,0,0,0,0,2,1,1,0,0,0,1
230,"20/5/2018","26/5/2018",0,0,4,1,1,8,0,6,0,3,0,0,4,1,0,5,3,0,0,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0
231,"27/5/2018","2/6/2018",0,0,7,2,1,7,2,2,3,2,0,0,2,0,0,4,3,0,0,1,3,1,0,2,1,0,0,1,0,0,0,0,1,0
232,"3/6/2018","9/6/2018",0,3,5,0,3,3,1,4,2,1,0,1,6,0,1,3,1,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,1,3
233,"10/6/2018","16/6/2018",0,0,1,4,2,5,1,2,3,1,0,2,1,1,0,3,1,0,4,0,1,0,0,1,4,0,0,0,3,4,0,0,1,0
234,"17/6/2018","23/6/2018",0,1,4,1,2,1,3,2,2,1,0,3,5,2,1,7,3,0,0,0,1,1,2,10,2,0,1,0,2,1,0,0,0,1
235,"24/6/2018","30/6/2018",0,2,2,1,2,3,0,2,0,2,0,1,1,0,1,5,0,0,1,0,0,1,0,7,2,0,0,0,3,1,0,0,1,1
236,"1/7/2018","7/7/2018",0,0,0,4,2,7,0,1,1,0,0,0,4,1,0,1,1,0,0,0,1,0,3,3,0,0,0,0,0,1,0,0,0,4
237,"8/7/2018","14/7/2018",0,2,3,0,2,3,0,3,2,0,0,0,2,4,0,2,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1
238,"15/7/2018","21/7/2018",0,2,3,3,1,1,1,6,1,1,0,0,2,1,1,1,0,0,1,0,0,0,1,2,0,0,1,2,2,0,0,0,0,3
239,"22/7/2018","28/7/2018",0,0,1,2,0,2,0,2,2,0,0,1,3,2,1,4,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,4
240,"29/7/2018","4/8/2018",0,0,7,4,1,4,0,3,1,0,0,1,3,0,1,2,0,0,3,0,0,0,2,2,0,1,0,1,3,1,0,0,1,1
241,"5/8/2018","11/8/2018",0,0,1,4,0,7,0,3,4,1,0,0,2,3,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
242,"12/8/2018","18/8/2018",1,1,2,10,0,6,0,1,0,1,0,0,2,0,0,6,0,0,4,0,4,1,1,0,3,0,0,0,3,0,0,0,0,2
243,"19/8/2018","25/8/2018",0,0,3,14,4,3,0,1,2,4,0,0,0,1,1,2,0,0,4,0,0,0,0,0,1,1,0,1,0,3,0,2,4,2
244,"26/8/2018","1/9/2018",0,0,0,21,4,6,3,3,1,1,0,0,1,1,2,1,0,1,1,0,1,0,0,0,3,0,0,0,2,7,0,1,1,5
245,"2/9/2018","8/9/2018",0,0,0,11,2,3,1,0,1,0,0,0,1,3,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,5,0,0,1,4
246,"9/9/2018","15/9/2018",0,0,1,5,4,2,0,2,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,7,0,0,0,1
247,"16/9/2018","22/9/2018",0,0,2,8,4,2,1,1,1,2,0,0,2,1,0,2,0,0,1,0,0,0,2,2,1,0,0,0,1,1,0,0,1,8
248,"23/9/2018","29/9/2018",0,0,0,4,2,1,1,2,2,1,0,1,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,5
249,"30/9/2018","6/10/2018",0,0,1,3,3,3,1,1,0,3,0,0,0,2,0,3,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,2
250,"7/10/2018","13/10/2018",0,0,3,3,5,7,0,1,0,0,0,0,2,3,0,1,1,0,0,0,1,0,2,1,1,0,0,0,3,0,0,0,2,6
251,"14/10/2018","20/10/2018",2,1,1,3,4,6,1,0,3,4,0,0,0,2,0,3,1,0,1,0,0,0,2,0,1,0,0,0,2,2,0,1,4,9
252,"21/10/2018","27/10/2018",1,0,1,0,2,14,1,4,1,3,0,0,1,4,0,2,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,5,9
253,"28/10/2018","3/11/2018",0,0,1,1,1,8,1,0,0,7,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,1,13
254,"4/11/2018","10/11/2018",0,0,0,1,2,10,2,1,0,14,0,1,5,2,0,4,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,1,4
255,"11/11/2018","17/11/2018",0,1,1,2,2,16,0,3,0,14,0,0,0,5,1,3,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,1,0,15
256,"18/11/2018","24/11/2018",0,0,1,2,2,30,0,1,5,11,0,0,3,5,1,7,2,0,1,0,1,0,2,2,1,0,0,3,1,4,0,0,0,11
257,"25/11/2018","1/12/2018",0,0,3,3,3,12,0,0,1,7,0,0,4,8,2,2,1,0,0,0,1,0,1,0,2,1,0,1,1,2,0,0,1,6
258,"2/12/2018","8/12/2018",3,0,0,1,1,15,0,3,3,6,0,0,0,5,4,12,3,0,0,0,1,0,2,2,2,0,0,1,0,2,0,0,2,15
259,"9/12/2018","15/12/2018",0,0,0,5,3,24,0,2,4,5,0,1,1,8,6,6,2,0,0,0,1,0,0,2,2,0,0,2,4,5,0,0,3,7
260,"16/12/2018","22/12/2018",1,1,1,9,4,37,0,6,0,1,0,1,3,4,6,4,1,0,5,0,0,1,6,3,3,0,0,0,1,1,0,0,4,7
261,"23/12/2018","29/12/2018",0,1,5,2,6,35,1,0,4,3,0,0,2,8,20,20,2,0,2,0,1,0,3,1,2,0,0,1,1,1,0,0,1,7
262,"30/12/2018","5/1/2019",0,2,3,11,7,48,2,1,6,3,0,4,11,19,5,15,3,0,0,0,1,0,2,4,8,1,0,2,3,1,0,0,6,11
263,"6/1/2019","12/1/2019",3,0,8,9,2,45,2,3,8,7,0,3,8,18,8,21,1,0,0,0,1,1,5,3,3,0,0,2,1,5,0,0,5,8
264,"13/1/2019","19/1/2019",0,0,5,8,7,48,0,2,4,2,0,0,5,13,2,15,1,0,1,0,0,0,2,1,2,0,0,6,2,2,0,4,0,14
265,"20/1/2019","26/1/2019",2,4,3,8,3,37,0,2,24,3,0,6,9,16,0,9,1,0,0,0,3,0,1,1,1,0,1,7,0,3,0,0,3,13
266,"27/1/2019","2/2/2019",1,6,3,9,3,19,0,1,6,2,0,4,4,15,1,2,1,0,1,0,1,0,2,4,2,0,0,0,2,5,0,0,0,11
267,"3/2/2019","9/2/2019",0,7,2,8,4,21,0,0,9,2,0,0,7,30,0,4,1,0,1,0,0,1,5,3,2,0,0,6,1,8,0,0,4,12
268,"10/2/2019","16/2/2019",1,9,7,19,6,39,0,7,5,4,0,3,7,19,1,12,3,0,1,0,2,2,3,0,4,1,0,5,4,4,0,0,7,21
269,"17/2/2019","23/2/2019",1,4,6,8,2,20,1,4,1,1,0,6,5,11,1,4,0,0,3,0,2,0,2,1,0,0,0,1,4,3,0,0,9,11
270,"24/2/2019","2/3/2019",0,0,4,10,4,22,1,1,6,1,0,2,4,16,2,5,3,0,0,0,2,0,3,2,2,0,0,1,1,2,0,0,7,9
271,"3/3/2019","9/3/2019",0,5,1,9,3,18,2,2,6,2,0,2,1,9,1,3,3,0,0,0,0,0,3,0,0,0,0,1,0,5,0,2,4,12
272,"10/3/2019","16/3/2019",1,5,2,0,2,19,2,2,3,1,0,0,0,5,0,4,5,0,1,0,0,0,2,0,3,1,0,2,3,4,0,0,1,11
273,"17/3/2019","23/3/2019",0,4,3,2,3,19,1,2,3,0,0,2,6,3,0,1,1,0,1,0,1,0,3,1,0,0,0,1,1,4,0,0,6,15
274,"24/3/2019","30/3/2019",0,3,4,8,2,16,0,0,0,1,0,3,6,10,1,1,1,0,3,0,2,1,1,1,2,0,0,1,1,4,0,1,5,11
275,"31/3/2019","6/4/2019",1,1,3,3,2,20,1,1,2,0,0,0,3,8,1,2,0,0,2,0,1,0,0,1,0,0,0,0,3,2,0,0,5,27
276,"7/4/2019","13/4/2019",0,1,2,6,3,16,0,2,0,0,0,2,3,13,1,5,5,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0,4,36
277,"14/4/2019","20/4/2019",1,2,3,4,13,23,1,1,0,0,0,0,7,3,1,5,0,0,0,0,0,1,5,0,0,0,0,2,2,1,0,0,4,37
278,"21/4/2019","27/4/2019",0,1,2,5,5,22,2,3,1,2,0,2,10,6,0,1,0,0,1,1,0,0,4,0,1,0,0,1,3,2,0,2,3,35
279,"28/4/2019","4/5/2019",0,0,4,3,16,48,5,2,1,0,0,1,22,7,0,4,2,0,4,0,1,0,1,4,3,0,0,0,2,4,0,0,4,56
280,"5/5/2019","11/5/2019",0,3,2,18,11,74,4,0,1,1,0,0,24,8,1,7,5,0,1,0,2,0,4,2,0,1,0,3,4,5,0,0,7,79
281,"12/5/2019","18/5/2019",1,12,6,5,8,60,14,4,3,3,0,1,29,20,6,4,5,0,0,0,0,0,5,4,0,0,0,2,5,11,0,0,10,58
282,"19/5/2019","25/5/2019",1,3,9,4,12,74,16,1,2,0,0,1,42,28,8,7,7,0,1,0,5,0,8,1,0,1,1,2,6,10,0,0,17,56
283,"26/5/2019","1/6/2019",1,6,9,7,10,58,26,1,2,1,0,3,42,23,5,7,6,0,5,0,2,1,6,3,2,0,2,1,10,10,0,0,17,65
284,"2/6/2019","8/6/2019",0,6,10,6,10,62,20,4,1,1,0,1,41,38,13,10,5,0,7,0,5,0,16,4,5,0,0,10,5,14,0,2,12,42
285,"9/6/2019","15/6/2019",1,7,14,12,14,69,17,3,3,1,0,4,54,30,11,14,7,0,2,0,3,2,16,4,1,1,1,4,3,10,0,3,13,39
286,"16/6/2019","22/6/2019",2,2,15,9,10,86,21,5,4,3,0,0,47,22,7,18,6,0,2,0,6,0,34,6,7,0,1,4,11,12,0,2,19,22
287,"23/6/2019","29/6/2019",0,6,12,2,14,90,18,3,8,4,0,2,48,28,8,17,10,0,4,0,6,0,28,5,3,0,2,0,11,9,0,2,21,26
288,"30/6/2019","6/7/2019",3,10,18,6,13,123,23,7,5,2,0,8,73,30,20,22,9,0,8,0,10,2,42,2,5,0,9,2,13,17,0,3,36,9
289,"7/7/2019","13/7/2019",2,8,11,7,17,100,41,9,5,1,0,5,62,35,13,27,10,0,16,1,5,0,35,10,11,0,11,3,12,15,0,0,27,15
290,"14/7/2019","20/7/2019",3,14,9,5,25,100,16,5,7,2,0,0,34,37,9,25,8,0,10,0,8,0,34,2,20,0,9,0,10,32,0,1,23,10
291,"21/7/2019","27/7/2019",3,4,21,4,28,76,17,5,6,2,0,0,48,32,5,18,11,0,17,1,3,2,31,4,14,0,5,10,11,32,0,2,26,19
292,"28/7/2019","3/8/2019",0,22,11,10,19,60,35,5,6,4,0,2,29,32,6,8,12,0,11,0,8,1,18,4,18,0,12,2,8,24,0,4,24,21
293,"4/8/2019","10/8/2019",4,12,16,8,24,37,32,3,5,4,0,3,22,32,10,15,6,0,20,0,7,0,23,4,16,0,7,2,9,30,0,4,22,10
294,"11/8/2019","17/8/2019",6,17,16,7,23,65,32,5,8,2,0,2,25,27,2,14,14,0,17,0,3,0,16,2,8,1,1,3,13,17,0,1,26,14
295,"18/8/2019","24/8/2019",5,10,11,3,17,33,32,4,7,5,0,5,12,33,1,11,11,0,18,0,5,1,28,6,14,0,3,4,8,23,0,3,17,9
296,"25/8/2019","31/8/2019",0,7,12,4,12,33,24,2,4,4,0,3,16,28,3,5,4,0,11,0,3,0,15,2,23,0,2,5,20,13,0,4,16,10
297,"1/9/2019","7/9/2019",0,4,12,1,14,39,20,2,9,6,0,3,4,22,2,3,6,0,6,1,3,0,16,2,12,1,4,0,12,14,0,3,7,8
298,"8/9/2019","14/9/2019",2,2,22,2,7,51,24,5,6,3,0,5,9,22,5,15,8,0,5,0,3,0,9,1,7,0,0,3,8,14,0,1,13,12
299,"15/9/2019","21/9/2019",0,6,13,4,6,37,18,5,10,1,0,3,6,20,2,16,5,0,4,0,2,0,15,1,7,1,0,1,10,22,0,2,4,7
300,"22/9/2019","28/9/2019",1,9,12,2,7,44,12,3,7,3,0,4,3,12,3,10,2,0,4,0,2,0,8,1,2,0,1,1,8,11,0,0,8,3
301,"29/9/2019","5/10/2019",0,1,10,0,12,27,6,4,14,8,0,1,1,9,1,12,8,0,2,0,0,0,4,0,2,0,0,1,16,9,0,5,9,6
302,"6/10/2019","12/10/2019",0,3,8,4,18,19,6,4,5,1,0,3,2,19,4,10,7,0,2,1,0,0,11,3,0,1,0,2,15,18,0,0,3,6
303,"13/10/2019","19/10/2019",0,2,8,5,10,27,7,3,7,3,0,3,6,13,5,8,2,0,2,1,2,0,20,3,2,0,0,4,26,18,0,1,9,4
304,"20/10/2019","26/10/2019",1,3,7,0,12,24,8,1,8,4,0,0,2,21,5,13,1,0,1,0,1,0,18,7,2,2,0,0,22,20,0,2,7,5
305,"27/10/2019","2/11/2019",4,2,4,4,18,21,11,5,12,4,0,5,6,24,15,18,2,0,5,0,1,0,13,6,7,0,1,1,11,30,0,0,5,10
306,"3/11/2019","9/11/2019",0,4,8,0,17,16,7,3,11,0,0,4,4,28,13,44,3,0,5,0,1,0,23,2,3,0,0,2,13,40,0,0,3,5
307,"10/11/2019","16/11/2019",5,3,9,2,26,23,3,4,16,3,0,1,6,29,10,29,1,0,4,0,1,1,27,5,4,0,0,0,22,44,0,1,5,6
308,"17/11/2019","23/11/2019",0,3,3,1,14,28,9,3,14,2,0,6,3,20,7,28,2,0,3,0,1,0,26,5,3,0,0,1,22,45,0,0,6,3
309,"24/11/2019","30/11/2019",1,1,7,3,22,18,5,3,10,1,1,3,2,31,3,9,4,0,4,0,2,0,15,2,6,1,0,1,9,48,0,0,4,4
310,"1/12/2019","7/12/2019",1,3,2,3,16,30,7,3,27,3,0,5,7,15,3,10,3,0,5,0,2,0,15,2,4,0,1,2,12,35,0,1,1,7
311,"8/12/2019","14/12/2019",1,0,3,9,16,20,4,2,12,0,0,5,6,22,4,11,2,0,3,0,0,0,15,4,1,0,1,0,8,20,0,0,2,4
