"week.number","start.date","end.date","Bukit.Batok","Choa.Chu.Kang","Tampines","Yishun","Ang.Mo.Kio","Bedok","Bishan","Bukit.Merah","Bukit.Panjang","Bukit.Timah","Changi","Clementi","Geylang","Hougang","Jurong.East","Jurong.West","Kallang","Mandai","Marine.Parade","Newton","Novena","Outram","Pasir.Ris","Punggol","Queenstown","River.Valley","Rochor","Sembawang","Sengkang","Serangoon","Sungei.Kadut","Tanglin","Toa.Payoh","Woodlands"
35,"24/8/2014","30/8/2014",0,2,5,1,4,36,1,1,16,3,0,3,33,23,3,9,7,0,2,0,0,0,13,3,5,0,0,2,10,14,0,0,4,11
36,"31/8/2014","6/9/2014",1,1,2,5,2,37,5,0,22,7,0,6,32,17,1,12,2,0,15,0,2,0,11,1,3,0,2,1,7,14,0,0,10,9
37,"7/9/2014","13/9/2014",2,3,7,5,7,19,5,2,16,2,0,4,55,15,1,9,10,0,8,0,2,3,14,3,2,0,2,2,3,15,0,0,6,11
38,"14/9/2014","20/9/2014",1,4,6,11,7,23,3,5,9,2,0,4,40,18,1,15,7,0,12,0,3,0,12,0,3,0,3,2,5,27,0,1,6,8
39,"21/9/2014","27/9/2014",1,2,16,5,6,37,4,5,8,1,0,4,35,19,1,16,8,1,4,0,5,0,13,1,5,0,3,1,6,27,0,0,3,8
40,"28/9/2014","4/10/2014",0,0,7,3,2,22,5,4,3,1,0,3,31,21,4,17,4,0,6,1,3,1,5,0,3,1,1,1,2,19,0,1,3,3
41,"5/10/2014","11/10/2014",1,1,14,8,9,27,3,4,8,2,0,4,29,4,0,14,6,0,3,2,3,1,8,1,1,1,1,2,4,19,0,2,4,7
42,"12/10/2014","18/10/2014",0,4,7,7,6,24,6,0,3,8,0,4,20,7,2,8,4,0,4,3,3,0,9,0,1,0,0,0,1,18,0,1,4,6
43,"19/10/2014","25/10/2014",2,3,5,1,5,20,5,2,3,7,0,2,12,9,2,6,3,0,0,0,0,0,12,1,1,1,0,1,1,5,0,0,5,2
44,"26/10/2014","1/11/2014",4,3,4,5,5,16,3,1,7,1,0,6,16,4,0,6,6,0,4,1,2,1,5,0,2,0,0,0,0,20,0,2,6,4
45,"2/11/2014","8/11/2014",2,2,6,3,4,10,1,3,4,1,0,3,18,4,2,6,5,0,7,0,0,0,4,2,3,0,0,0,3,14,0,0,3,4
46,"9/11/2014","15/11/2014",1,3,5,1,3,9,2,4,1,2,1,2,15,3,1,5,2,0,1,0,7,1,0,0,2,0,1,0,2,11,0,0,1,2
47,"16/11/2014","22/11/2014",0,3,5,2,2,14,2,0,0,2,0,1,12,4,0,0,2,0,4,0,4,0,6,1,2,0,2,1,2,10,0,0,3,2
48,"23/11/2014","29/11/2014",1,1,3,3,5,8,3,2,2,1,0,3,19,8,1,3,2,2,2,0,8,1,12,2,2,0,0,2,4,21,0,0,1,6
49,"30/11/2014","6/12/2014",0,1,9,2,6,12,3,2,4,7,0,0,8,12,1,8,5,1,1,0,3,0,9,2,0,0,0,2,4,10,0,1,5,3
50,"7/12/2014","13/12/2014",0,0,9,3,2,18,11,4,3,0,0,2,9,12,0,6,7,0,0,0,4,0,5,2,1,0,0,3,4,10,0,0,2,4
51,"14/12/2014","20/12/2014",0,0,3,4,4,4,3,3,2,1,0,5,10,15,2,15,8,0,1,0,3,0,3,1,2,0,0,0,2,11,0,0,7,8
52,"21/12/2014","27/12/2014",0,2,2,4,7,8,13,2,2,4,0,0,18,12,0,15,3,0,2,0,2,0,3,4,1,0,0,1,3,9,0,0,6,6
53,"28/12/2014","3/1/2015",2,2,3,6,5,15,6,4,2,4,0,3,17,16,1,9,1,0,7,0,2,0,11,2,5,0,0,2,8,13,0,1,7,6
54,"4/1/2015","10/1/2015",1,0,8,3,5,17,10,2,1,5,0,2,13,17,0,8,1,0,2,0,2,1,5,0,6,1,1,6,5,18,0,0,4,3
55,"11/1/2015","17/1/2015",1,2,5,2,8,10,7,2,5,4,0,5,15,14,3,2,3,0,1,1,1,0,3,0,4,0,0,0,6,16,0,3,7,3
56,"18/1/2015","24/1/2015",1,4,12,3,9,16,12,4,3,2,0,6,17,15,3,10,1,0,1,0,4,1,8,1,2,0,0,3,6,11,0,1,13,2
57,"25/1/2015","31/1/2015",2,2,9,3,11,19,11,1,4,1,0,4,16,14,1,12,5,0,1,0,1,0,5,2,1,0,0,4,5,10,0,0,5,3
58,"1/2/2015","7/2/2015",0,1,4,5,4,19,10,1,5,1,0,5,10,11,2,7,1,0,0,0,1,1,6,2,1,0,0,1,4,9,0,1,4,8
59,"8/2/2015","14/2/2015",0,3,0,2,3,14,4,0,2,1,0,2,6,9,1,4,4,0,4,0,0,1,3,1,4,0,0,4,3,4,0,0,5,1
60,"15/2/2015","21/2/2015",0,0,3,1,7,10,4,2,0,1,0,5,11,25,2,10,1,0,0,0,0,1,2,0,6,0,1,5,4,6,0,0,5,9
61,"22/2/2015","28/2/2015",2,0,5,4,7,22,2,6,1,1,0,1,9,8,2,10,1,0,1,1,1,0,1,2,3,0,0,1,3,4,0,0,6,6
62,"1/3/2015","7/3/2015",0,1,3,8,4,10,6,5,1,1,0,2,6,6,1,7,2,1,1,1,4,0,3,0,3,0,0,0,3,2,0,0,3,5
63,"8/3/2015","14/3/2015",0,0,1,5,0,7,6,0,0,2,1,1,3,4,0,7,1,1,2,0,0,0,5,2,0,0,0,1,1,1,0,0,7,4
64,"15/3/2015","21/3/2015",1,0,2,3,4,10,1,1,0,1,0,1,19,1,1,0,1,3,1,0,1,0,3,2,0,0,0,1,3,6,0,1,3,4
65,"22/3/2015","28/3/2015",0,1,7,6,2,5,7,2,0,1,0,1,9,5,0,5,1,0,1,0,0,1,0,1,0,0,0,8,2,3,0,0,2,6
66,"29/3/2015","4/4/2015",2,0,4,9,1,9,0,0,2,1,0,2,20,3,1,4,1,1,2,0,2,0,1,1,1,0,0,1,2,1,0,0,1,5
67,"5/4/2015","11/4/2015",0,0,2,5,5,11,1,0,0,1,0,2,13,4,2,2,0,0,0,0,1,0,7,2,2,0,0,5,3,3,0,1,5,6
68,"12/4/2015","18/4/2015",0,1,1,7,2,6,1,2,1,1,0,1,9,4,3,1,0,0,2,2,2,0,5,3,4,1,0,2,3,6,0,0,3,4
